UserName;Password;Mail;CreditCard;Paycheck
DimitrisAlex;1234567890;dimitris@company.com;7,58412E+11;1200
James345;password!;james@company.com;7,61638E+11;1000
KatieFren;Pass231#3;katie@comapny.com;3,41219E+11;1300
Maria86Doc;3232code$!;maria@company.com;6,98521E+11;850
KostasKaza;9876543210;kostas@company.com;6,46161E+11;850
ChrisAl1990;MyPaSsIs52;chris@company.com;54262309793;1200
JudieRing;838!PasS2343;judie@company.com;9,83231E+11;2000
Konna15Kon;2313##!PaS214;konna@company.com;8,84566E+11;1200
JimmyCric;Th1s1sMyPaSs;jimmy@company.com;8,4621E+11;1300
GeorgePap;1Hav3Th1sPasS;george@company.com;9,99213E+11;1800
